system_id,sent_date__c,content_name__c,journey_content__r_a_b_test__c,type__c,card_no__c,card_type__c,status__c,arrival_station__c,departure_station__c,pnr_number,utm_content__c,birthday_event_date
JH-0001598103,2021-09-28T08:46:10.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WA5556420,GOLD,Success,,,,,
JH-0001598081,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,CM0000000,EMER,Click,,,,,
JH-0001598082,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,CT0000000,EMER,Click,,,,,
JH-0001598083,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,AJ0000000,GOLD,Click,,,,,
JH-0001598084,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,NK0000000,PARA,Click,,,,,
JH-0001598085,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,AA0000000,DYNA,Click,,,,,
JH-0001598079,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,NN0000000,PARA,Click,,,,,
JH-0001598080,2021-09-27T08:06:23.000Z,[NFP]未完成購票 EDM-A - GA test only - 0927,,EDM,FZ0000000,EMER,Click,,,,,
JH-0001598073,2021-09-27T08:06:14.000Z,[NFP]未完成購票 EDM-B - GA test only - 0927,,EDM,AY0000000,GOLD,Click,,,,,
JH-0001598074,2021-09-27T08:06:14.000Z,[NFP]未完成購票 EDM-B - GA test only - 0927,,EDM,SG0000000,PARA,Click,,,,,
JH-0001598075,2021-09-27T08:06:14.000Z,[NFP]未完成購票 EDM-B - GA test only - 0927,,EDM,AN0000000,DYNA,Click,,,,,
JH-0001598076,2021-09-27T08:06:14.000Z,[NFP]未完成購票 EDM-B - GA test only - 0927,,EDM,AT0000000,GOLD,Click,,,,,
JH-0001598091,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,NK0000000,PARA,Click,,,,,
JH-0001598092,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,CT0000000,EMER,Click,,,,,
JH-0001598093,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,AN0000000,DYNA,Click,,,,,
JH-0001598094,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,AJ0000000,GOLD,Click,,,,,
JH-0001598095,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,NN0000000,PARA,Click,,,,,
JH-0001598096,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,SG0000000,PARA,Click,,,,,
JH-0001598097,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,FZ0000000,EMER,Click,,,,,
JH-0001598098,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,AA0000000,DYNA,Click,,,,,
JH-0001598099,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,AT0000000,GOLD,Click,,,,,
JH-0001598100,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,AY0000000,GOLD,Open,,,,,
JH-0001598090,2021-09-28T07:33:13.000Z,[TRN]TravelReminder_ZH - 20210928 - GA test only - rvsd2,,EDM,CM0000000,EMER,Click,,,,,
JH-0001598101,2021-09-28T07:33:15.000Z,[TRN]旅遊小叮嚀APP_ZH - 20210928 - GA test only,,APP,AS0000000,DYNA,Success,,,,,
JH-0001598102,2021-09-28T07:33:15.000Z,[TRN]旅遊小叮嚀APP_ZH - 20210928 - GA test only,,APP,SE0000000,PARA,Success,,,,,
JH-0001598146,2021-09-30T07:47:33.000Z,HBD生日賀卡-GA Test APP,,APP,AS0000000,DYNA,,,,,,
JH-0001598147,2021-09-30T07:47:33.000Z,HBD生日賀卡-GA Test APP,,APP,FZ0000000,EMER,,,,,,
JH-0001598148,2021-09-30T07:47:33.000Z,HBD生日賀卡-GA Test APP,,APP,SE0000000,PARA,,,,,,
JH-0001598149,2021-09-30T07:47:33.000Z,HBD生日賀卡-GA Test APP,,APP,SG0000000,PARA,,,,,,
JH-0001598163,2021-09-30T08:06:50.000Z,[NFP]未完成購票 EDM-A - GA test only - rvsd3,A,EDM,AY0000000,GOLD,Click,,,,,
JH-0001598164,2021-09-30T08:06:50.000Z,[NFP]未完成購票 EDM-A - GA test only - rvsd3,A,EDM,CM0000000,EMER,Click,,,,,
JH-0001598161,2021-09-30T08:06:50.000Z,[NFP]未完成購票 EDM-A - GA test only - rvsd3,A,EDM,NN0000000,PARA,Click,,,,,
JH-0001598162,2021-09-30T08:06:50.000Z,[NFP]未完成購票 EDM-A - GA test only - rvsd3,A,EDM,CT0000000,EMER,Click,,,,,
JH-0001598145,2021-09-30T07:10:46.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,CK0089098,DYNA,Delivered,,,,,
JH-0001598250,2021-10-01T06:57:28.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,CT0000000,EMER,,,,,,
JH-0001598251,2021-10-01T06:57:28.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,NN0000000,PARA,,,,,,
JH-0001598252,2021-10-01T06:57:28.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,AY0000000,GOLD,,,,,,
JH-0001598253,2021-10-01T06:57:28.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,CM0000000,EMER,,,,,,
JH-0001598254,2021-10-01T06:57:28.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,NK0000000,PARA,,,,,,
JH-0001598255,2021-10-01T06:57:28.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,AA0000000,DYNA,,,,,,
JH-0001598256,2021-10-01T06:57:28.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,FZ0000000,EMER,,,,,,
JH-0001598257,2021-10-01T06:57:28.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,AN0000000,DYNA,,,,,,
JH-0001598258,2021-10-01T06:57:28.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,SG0000000,PARA,,,,,,
JH-0001598259,2021-10-01T06:57:28.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,AJ0000000,GOLD,,,,,,
JH-0001598260,2021-10-01T06:57:28.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,AT0000000,GOLD,,,,,,
JH-0001598180,2021-10-01T00:52:27.000Z,HBD生日賀卡-GA Test SMS,,SMS,CA0000000,GOLD,Delivered,,,,,
JH-0001598181,2021-10-01T00:52:27.000Z,HBD生日賀卡-GA Test SMS,,SMS,NT0000000,EMER,Delivered,,,,,
JH-0001598262,2021-10-01T08:38:25.000Z,[TRN]旅遊小叮嚀APP_ZH - 20210928 - GA test only,,APP,SE0000000,PARA,Success,,,,,
JH-0001598263,2021-10-01T08:38:25.000Z,[TRN]旅遊小叮嚀APP_ZH - 20210928 - GA test only,,APP,AS0000000,DYNA,Success,,,,,
JH-0001598178,2021-10-01T00:52:24.000Z,HBD生日賀卡-GA Test EDM-B,B,EDM,AA0000000,DYNA,Click,,,,,
JH-0001598179,2021-10-01T00:52:24.000Z,HBD生日賀卡-GA Test EDM-B,B,EDM,CM0000000,EMER,Click,,,,,
JH-0001598177,2021-10-01T00:52:24.000Z,HBD生日賀卡-GA Test EDM-B,B,EDM,AN0000000,DYNA,Click,,,,,
JH-0001598207,2021-10-01T02:35:09.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WD0570093,DYNA,Delivered,,,,,
JH-0001598248,2021-10-01T06:57:26.000Z,[TRN]旅遊小叮嚀APP_ZH - 20210928 - GA test only,,APP,SE0000000,PARA,,,,,,
JH-0001598249,2021-10-01T06:57:26.000Z,[TRN]旅遊小叮嚀APP_ZH - 20210928 - GA test only,,APP,AS0000000,DYNA,,,,,,
JH-0001598261,2021-10-01T08:05:24.000Z,ANC Chargeable Seat APP Push B(ZH),B,APP,WE7450852,GOLD,Success,,,,,
JH-0001598283,2021-10-02T04:30:38.000Z,ANC Chargeable Seat APP Push B(ZH),B,APP,WF3859165,DYNA,Success,,,,,
JH-0001598282,2021-10-02T03:40:30.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WB6281166,DYNA,Success,,,,,
JH-0001598291,2021-10-03T04:50:45.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,CT4228751,DYNA,Delivered,,,,,
JH-0001598292,2021-10-03T04:50:45.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WE9393412,DYNA,Delivered,,,,,
JH-0001598293,2021-10-03T05:56:10.000Z,ANC Chargeable Seat APP Push B(ZH),B,APP,WF1671142,DYNA,Success,,,,,
JH-0001598294,2021-10-03T05:56:10.000Z,ANC Chargeable Seat APP Push B(ZH),B,APP,WB1390511,DYNA,Success,,,,,
JH-0001598280,2021-10-01T22:40:20.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WA2577971,DYNA,Delivered,,,,,
JH-0001598281,2021-10-02T02:45:35.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WF1172485,DYNA,Delivered,,,,,
JH-0001598289,2021-10-03T03:00:53.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WB9646806,DYNA,Success,,,,,
JH-0001598298,2021-10-05T05:11:29.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WF3790585,DYNA,Delivered,,,,,
JH-0001598299,2021-10-05T15:50:31.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WD0483142,DYNA,,,,,,
JH-0001598301,2021-10-06T00:40:34.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WE8388900,DYNA,,,,,,
JH-0001374807,2021-09-14T15:06:17.000Z,GA TEST ANC,,APP,,,Open,,,,,
JH-0001374820,2021-09-14T15:13:56.000Z,GA TEST HBD SMS,,SMS,,,Undelivered,,,,,
JH-0001374806,2021-09-14T15:05:26.000Z,GA TEST NFP,,SMS,,,Delivered,,,,,
JH-0001374815,2021-09-14T15:10:32.000Z,GA TEST HBD,A,EDM,,,Sent,,,,,
JH-0001374822,2021-09-14T15:14:30.000Z,GA TEST PPM APP,,APP,,,Open,,,,,
JH-0001598175,2021-09-30T15:20:55.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WB3688435,DYNA,Delivered,,,,,
JH-0001598110,2021-09-29T23:30:16.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,CK1029251,DYNA,Delivered,,,,,
JH-0001598143,2021-09-30T07:10:38.000Z,ANC Chargeable Seat APP Push B(ZH),B,APP,CT1942918,DYNA,Success,,,,,
JH-0001598165,2021-09-30T08:06:52.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd3,B,EDM,AT0000000,GOLD,Click,,,,,
JH-0001598166,2021-09-30T08:06:52.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd3,B,EDM,AJ0000000,GOLD,Click,,,,,
JH-0001598167,2021-09-30T08:06:52.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd3,B,EDM,NK0000000,PARA,Click,,,,,
JH-0001598168,2021-09-30T08:06:52.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd3,B,EDM,AA0000000,DYNA,Click,,,,,
JH-0001598169,2021-09-30T08:06:52.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd3,B,EDM,FZ0000000,EMER,Click,,,,,
JH-0001598170,2021-09-30T08:06:52.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd3,B,EDM,SG0000000,PARA,Click,,,,,
JH-0001598171,2021-09-30T08:06:52.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd3,B,EDM,AN0000000,DYNA,Click,,,,,
JH-0001598130,2021-09-30T06:25:00.000Z,HBD生日賀卡-GA Test SMS,,SMS,CA0000000,GOLD,,,,,,
JH-0001598131,2021-09-30T06:25:00.000Z,HBD生日賀卡-GA Test SMS,,SMS,NT0000000,EMER,,,,,,
JH-0001598144,2021-09-30T07:10:40.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WE6688664,DYNA,Delivered,,,,,
JH-0001598132,2021-09-30T06:25:00.000Z,HBD生日賀卡-GA Test EDM-B,B,EDM,NN0000000,PARA,Open,,,,,
JH-0001598133,2021-09-30T06:25:00.000Z,HBD生日賀卡-GA Test EDM-B,B,EDM,AN0000000,DYNA,,,,,,
JH-0001598134,2021-09-30T06:25:00.000Z,HBD生日賀卡-GA Test EDM-B,B,EDM,CT0000000,EMER,,,,,,
JH-0001598176,2021-09-30T15:20:56.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WB5417741,DYNA,Success,,,,,
JH-0001598120,2021-09-30T06:24:57.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,CM0000000,EMER,,,,,,
JH-0001598121,2021-09-30T06:24:57.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,NK0000000,PARA,,,,,,
JH-0001598122,2021-09-30T06:24:57.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,AJ0000000,GOLD,,,,,,
JH-0001598123,2021-09-30T06:24:57.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,AY0000000,GOLD,,,,,,
JH-0001598124,2021-09-30T06:24:57.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,AT0000000,GOLD,,,,,,
JH-0001598125,2021-09-30T06:24:57.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,AA0000000,DYNA,,,,,,
JH-0001598174,2021-09-30T08:15:27.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WA5777537,DYNA,Delivered,,,,,
JH-0001598159,2021-09-30T07:47:42.000Z,HBD生日賀卡-GA Test SMS,,SMS,NT0000000,EMER,,,,,,
JH-0001598160,2021-09-30T07:47:42.000Z,HBD生日賀卡-GA Test SMS,,SMS,CA0000000,GOLD,,,,,,
JH-0001598111,2021-09-30T01:25:29.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,WA1534814,DYNA,Delivered,,,,,
JH-0001598153,2021-09-30T07:47:36.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,AN0000000,DYNA,Open,,,,,
JH-0001598154,2021-09-30T07:47:36.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,AT0000000,GOLD,,,,,,
JH-0001598155,2021-09-30T07:47:36.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,CM0000000,EMER,Open,,,,,
JH-0001598156,2021-09-30T07:47:36.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,NN0000000,PARA,,,,,,
JH-0001598157,2021-09-30T07:47:36.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,AA0000000,DYNA,Open,,,,,
JH-0001598158,2021-09-30T07:47:36.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,AY0000000,GOLD,,,,,,
JH-0001598112,2021-09-30T02:05:06.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,WA6081006,DYNA,Delivered,,,,,
JH-0001598114,2021-09-30T04:30:57.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,WB5590552,DYNA,Delivered,,,,,
JH-0001598113,2021-09-30T04:30:57.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,WB3100533,DYNA,Delivered,,,,,
JH-0001598128,2021-09-30T06:24:59.000Z,HBD生日賀卡-GA Test APP,,APP,SE0000000,PARA,,,,,,
JH-0001598129,2021-09-30T06:24:59.000Z,HBD生日賀卡-GA Test APP,,APP,AS0000000,DYNA,,,,,,
JH-0001598152,2021-09-30T07:47:35.000Z,HBD生日賀卡-GA Test EDM-B,B,EDM,NK0000000,PARA,Open,,,,,
JH-0001598150,2021-09-30T07:47:35.000Z,HBD生日賀卡-GA Test EDM-B,B,EDM,CT0000000,EMER,Click,,,,,
JH-0001598151,2021-09-30T07:47:35.000Z,HBD生日賀卡-GA Test EDM-B,B,EDM,AJ0000000,GOLD,Open,,,,,
JH-0001598278,2021-10-01T15:35:13.000Z,ANC Chargeable Seat APP Push B(ZH),B,APP,WB7219506,DYNA,,,,,,
JH-0001598264,2021-10-01T08:38:27.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,AJ0000000,GOLD,Open,,,,,
JH-0001598265,2021-10-01T08:38:27.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,SG0000000,PARA,Open,,,,,
JH-0001598266,2021-10-01T08:38:27.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,AN0000000,DYNA,Open,,,,,
JH-0001598267,2021-10-01T08:38:27.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,FZ0000000,EMER,Open,,,,,
JH-0001598268,2021-10-01T08:38:27.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,AT0000000,GOLD,Open,,,,,
JH-0001598269,2021-10-01T08:38:27.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,AY0000000,GOLD,Open,,,,,
JH-0001598270,2021-10-01T08:38:27.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,CT0000000,EMER,Click,,,,,
JH-0001598271,2021-10-01T08:38:27.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,NN0000000,PARA,Open,,,,,
JH-0001598272,2021-10-01T08:38:27.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,CM0000000,EMER,Open,,,,,
JH-0001598273,2021-10-01T08:38:27.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,NK0000000,PARA,Open,,,,,
JH-0001598274,2021-10-01T08:38:27.000Z,[TRN] Travel Reminder-GA test-20211001,,EDM,AA0000000,DYNA,Open,,,,,
JH-0001598186,2021-10-01T00:52:28.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,AT0000000,GOLD,Open,,,,,
JH-0001598187,2021-10-01T00:52:28.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,AJ0000000,GOLD,Open,,,,,
JH-0001598188,2021-10-01T00:52:28.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,AY0000000,GOLD,Open,,,,,
JH-0001598189,2021-10-01T00:52:28.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,NN0000000,PARA,Click,,,,,
JH-0001598190,2021-10-01T00:52:28.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,NK0000000,PARA,Click,,,,,
JH-0001598191,2021-10-01T00:52:28.000Z,HBD生日賀卡-GA Test EDM-A,A,EDM,CT0000000,EMER,Open,,,,,
JH-0001598275,2021-10-01T11:50:41.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WD0639360,GOLD,,,,,,
JH-0001598277,2021-10-01T15:35:12.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,CT0807840,DYNA,,,,,,
JH-0001598276,2021-10-01T15:35:12.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WA5870700,DYNA,Delivered,,,,,
JH-0001598279,2021-10-01T15:35:14.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,AS0241964,GOLD,Success,,,,,
JH-0001598182,2021-10-01T00:52:27.000Z,HBD生日賀卡-GA Test APP,,APP,SE0000000,PARA,Success,,,,,
JH-0001598183,2021-10-01T00:52:27.000Z,HBD生日賀卡-GA Test APP,,APP,SG0000000,PARA,,,,,,
JH-0001598184,2021-10-01T00:52:27.000Z,HBD生日賀卡-GA Test APP,,APP,AS0000000,DYNA,Success,,,,,
JH-0001598185,2021-10-01T00:52:27.000Z,HBD生日賀卡-GA Test APP,,APP,FZ0000000,EMER,Success,,,,,
JH-0001598208,2021-10-01T02:35:11.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WA2902678,DYNA,Success,,,,,
JH-0001598285,2021-10-02T09:20:38.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WB3402077,DYNA,Delivered,,,,,
JH-0001598284,2021-10-02T08:16:29.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WE8718096,GOLD,Delivered,,,,,
JH-0001598287,2021-10-03T00:00:15.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WE3064634,DYNA,Delivered,,,,,
JH-0001598286,2021-10-03T00:00:15.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WD6283765,DYNA,Delivered,,,,,
JH-0001598295,2021-10-03T08:06:23.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,CK0651767,DYNA,Delivered,,,,,
JH-0001598288,2021-10-03T03:00:51.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WE8695765,DYNA,Delivered,,,,,
JH-0001598296,2021-10-03T08:06:25.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WB2197743,DYNA,Delivered,,,,,
JH-0001598300,2021-10-05T15:50:34.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,CK0710842,GOLD,,,,,,
JH-0001374811,2021-09-14T15:08:14.000Z,GA TEST TRN,B,EDM,,,Click,,,,,
JH-0001374819,2021-09-14T15:13:56.000Z,GA TEST HBD SMS,,SMS,,,Delivered,,,,,
JH-0001374809,2021-09-14T15:07:19.000Z,GA TEST PPM,B,EDM,,,Open,,,,,
